,t_stat,p_value_tstat,F_stat,p_value_fstat,mean_FG_sc,mean_RSF_sc,max_FG_sc,max_RSF_sc,SD_FG_Sc,SD_RSF_Sc,samples,seed
2943,-4.028995209,0.010031151,5.705268454,0.034179379,0.167347636,0.195616996,0.181691342,0.202155702,0.009784518,0.004889962,3000,46208
2944,-3.68358488,0.014240361,4.794763755,0.048759766,0.157521785,0.190923925,0.16644497,0.195705688,0.007222612,0.003265078,3000,46208
2945,-6.755367512,0.0010793,21.14763153,0.001779962,0.162891381,0.192294392,0.169735508,0.199910759,0.004511957,0.004095361,3000,46208
2946,-3.803159508,0.012587745,9.009723377,0.0127705,0.165806954,0.197485277,0.183056705,0.203012539,0.008366074,0.003525151,3000,46208
2947,-2.711990813,0.042175872,6.199625086,0.02872229,0.174650093,0.199909288,0.185061582,0.202921972,0.006083944,0.002670952,3000,46208
2948,-4.721823324,0.005234107,13.710212,0.004922721,0.170224806,0.203954873,0.178532583,0.209594097,0.006736448,0.002873705,3000,46208
2949,-4.180113295,0.008654006,15.74694091,0.003567351,0.161494444,0.195177568,0.17296924,0.201883594,0.008575225,0.004849157,3000,46208
2950,-6.887248652,0.000987784,31.03309743,0.000709736,0.150287218,0.183932707,0.158025521,0.189322724,0.005337213,0.004040171,3000,46208
2951,-7.651952631,0.000606854,30.84124367,0.000720446,0.155328046,0.189606722,0.164280993,0.195571648,0.006069179,0.003513885,3000,46208
2952,-4.306936889,0.007664851,6.740590325,0.024048688,0.160481464,0.196275649,0.170487347,0.200926481,0.007862928,0.004041877,3000,46208
2953,-2.845335337,0.036020228,2.910354837,0.124972372,0.165292529,0.193450906,0.181035802,0.200333092,0.00989266,0.004604787,3000,46208
2954,-8.634077925,0.000344149,33.40967408,0.000593737,0.163513461,0.200181975,0.173423908,0.208503187,0.006697412,0.00484221,3000,46208
2955,-5.830307175,0.002098244,15.77453457,0.003552787,0.157287943,0.193598159,0.173399936,0.200495125,0.00900775,0.005231617,3000,46208
2956,-5.389976932,0.002966244,13.64907218,0.004973872,0.154772545,0.192084019,0.169272991,0.196207523,0.006707568,0.00370379,3000,46208
2957,-2.910807645,0.033368349,6.254609708,0.028192141,0.164721988,0.193619304,0.174448932,0.2007506,0.005395431,0.003377082,3000,46208
2958,-7.464470647,0.000681121,17.7965855,0.002677274,0.166021038,0.198851146,0.172751437,0.205985217,0.004924548,0.003594496,3000,46208
2959,-6.507569027,0.001279865,26.24556224,0.001062503,0.155765954,0.192077302,0.165482793,0.202101017,0.006071017,0.007210737,3000,46208
2960,-5.029212656,0.00400352,9.978195836,0.010164843,0.171546337,0.202014696,0.18400909,0.207506012,0.006405582,0.004238177,3000,46208
2961,-3.7414557,0.013411376,6.959818562,0.022455057,0.164906437,0.198197404,0.174580828,0.202440008,0.00636448,0.002753735,3000,46208
2962,-4.906154554,0.004450614,13.60290483,0.00501299,0.156028271,0.189911909,0.165242721,0.196189828,0.006939366,0.003453977,3000,46208
2963,-2.046265609,0.096098743,6.250343072,0.028232788,0.162092733,0.193435191,0.18020606,0.198757342,0.009824514,0.003733713,3000,46208
2964,-6.219414972,0.001571103,16.33904942,0.003272239,0.162285689,0.196497776,0.181892032,0.210756914,0.00871065,0.00678458,3000,46208
2965,-2.642531642,0.045836325,9.521811679,0.011289784,0.163091244,0.195823404,0.172423167,0.202079373,0.005314941,0.005816421,3000,46208
2966,-3.478687757,0.017683628,8.626085016,0.014063591,0.163150538,0.197739261,0.170360979,0.203819035,0.004881803,0.003631132,3000,46208
2967,-4.697964715,0.005346836,9.819938904,0.010536421,0.162396169,0.196398056,0.173383306,0.20223467,0.006122628,0.00373048,3000,46208
2968,-7.483665634,0.00067304,27.23973288,0.000971725,0.155224604,0.195037528,0.163192061,0.19789764,0.004765485,0.001934617,3000,46208
2969,-3.540935945,0.016546099,8.843408619,0.013309769,0.160775375,0.1963172,0.17289969,0.201860917,0.006477,0.004557288,3000,46208
2970,-6.195828109,0.001598233,15.18163174,0.003885058,0.160222839,0.190923377,0.173833583,0.200177397,0.00868844,0.005851413,3000,46208
2971,-5.680337976,0.002355326,13.62418041,0.00499491,0.159707857,0.193407677,0.169229962,0.200677706,0.007138361,0.00538279,3000,46208
2972,-3.500908071,0.017267652,8.222740951,0.015629267,0.163632466,0.197804085,0.175481802,0.204499478,0.008216032,0.004462226,3000,46208
2973,-4.016422821,0.010156692,6.685070261,0.024477241,0.157251268,0.189131936,0.164022492,0.198209209,0.005207608,0.005375003,3000,46208
2974,-18.8966843,7.65E-06,174.3001497,1.02E-05,0.155218722,0.191376669,0.160432237,0.196559848,0.003840331,0.003362302,3000,46208
2975,-4.998520381,0.004109921,7.86645879,0.017222433,0.163896045,0.197817184,0.176943124,0.204628757,0.007714423,0.004533601,3000,46208
2976,-3.114843751,0.026405706,6.405605203,0.02680466,0.167611322,0.198780087,0.179763509,0.205609857,0.006937765,0.004600254,3000,46208
2977,-4.290943454,0.007782091,13.55571475,0.005053421,0.16749277,0.199272596,0.171685548,0.206543826,0.003462317,0.003647012,3000,46208
2978,-4.944903186,0.004303822,15.6222639,0.003634207,0.161244372,0.194764035,0.173746644,0.205336489,0.006853538,0.005826843,3000,46208
2979,-13.05277973,4.71E-05,86.31010214,5.81E-05,0.162924679,0.194198184,0.166712701,0.199033712,0.002662485,0.004008626,3000,46208
2980,-5.804259492,0.002140433,13.1838116,0.005388622,0.164281075,0.199479059,0.171823928,0.207480779,0.005008966,0.004402905,3000,46208
2981,-4.580090085,0.005946983,9.401206854,0.011616007,0.165945563,0.196035146,0.172208491,0.201168795,0.00435883,0.003277617,3000,46208
2982,-4.875413073,0.004571238,14.3824604,0.004405829,0.158826326,0.194957912,0.167789044,0.198683451,0.006027022,0.002311119,3000,46208
2983,-2.616031852,0.047323845,4.422725443,0.057259843,0.171603122,0.199755855,0.187205645,0.203990824,0.009851757,0.003327996,3000,46208
2984,-5.375415221,0.003001487,18.47081907,0.00245259,0.163410873,0.19462352,0.170368391,0.200269673,0.005249073,0.003598584,3000,46208
2985,-1.739809398,0.142379942,2.966777975,0.120833065,0.168162391,0.197014187,0.189225337,0.204318046,0.011415116,0.004279308,3000,46208
2986,-3.633257803,0.01500918,10.42872907,0.009202245,0.159051055,0.196707048,0.166337036,0.203327802,0.004882545,0.004067215,3000,46208
2987,-7.538832778,0.000650441,21.76852221,0.001661563,0.152590671,0.190983638,0.159521429,0.193712534,0.004414435,0.001926941,3000,46208
2988,-4.45016853,0.006701282,8.549441007,0.014343682,0.161919394,0.197232445,0.179947007,0.205083081,0.009451152,0.005635466,3000,46208
2989,-7.416734783,0.000701719,21.6468908,0.00168387,0.154047429,0.19497083,0.165622008,0.200911477,0.008566188,0.004549035,3000,46208
2990,-3.925244217,0.011123262,12.5209793,0.006067821,0.163533049,0.198854801,0.182492832,0.210483001,0.009861171,0.006050577,3000,46208
2991,-3.434146732,0.018552245,3.800748175,0.076776647,0.167683946,0.198802609,0.180200756,0.202588839,0.007997458,0.002837408,3000,46208
2992,-6.262521373,0.001522911,23.45228143,0.001391102,0.157856746,0.197362555,0.16475856,0.204076964,0.005309839,0.004043153,3000,46208
2993,-4.729222748,0.00519971,8.613262942,0.014109913,0.166458877,0.19850469,0.190993821,0.21394531,0.010307893,0.007290218,3000,46208
